Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX I am becoming emotionally stressed about this matter. This is my second complaint because they are saying my complaint is unauthorized. They say that to stall from investigation. They have not shown me proof of the account being late, and it shows the date last active is inaccurate as well. Under the FCRA 15 U.S.C. 1681i, all unverified accounts must be promptly deleted, and they seem to be ignoring the laws. These accounts have been preventing me from getting business funding and it's very stressful for me and my family."
"Credit reporting, credit repair services, or other personal consumer reports",Reporting incorrect and or inaccurate data and amounts.
Credit card or prepaid card,on XXXX2021 i filed a police report for unauthorized transactions on my debit card with Netspend they have refused to refund my funds they police have surveilleance and the card is still in posession My name is XXXX XXXX
"Credit reporting, credit repair services, or other personal consumer reports",I have filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I have not received any investigation results.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX  XXXX XXXX  approved my forbearance due to COVID-19, and in XX/XX/2021, XXXX XXXX  approved deferment option. At the same time, they reported to credit bureau of been OVER 180 days late. I tried to contact XXXX XXXX  several time and the customer service rep kept lying to me about the situation.I requested to talk to supervisor, but they'll not let me talk to the supervisor. I requested a call back but no one ever called me back."
"Credit reporting, credit repair services, or other personal consumer reports",Inaccurate unrecognized credit inquiry fraudulently done.
"Credit reporting, credit repair services, or other personal consumer reports",i'm having a hard time getting my disputes processed with the credit bureaus and updating my current address.
Credit card or prepaid card,"On XX/XX/2018 I did a consumer credit transaction with Citibank. The total amount of the transaction was for {$3300.00}. Citibank is in violation of 15 usc 1605 ( a ) .A few weeks after the initial transaction I received a bill requesting that a payment be made. Today I am contacting the CFPB to get this matter resolved as quickly as possible, as the information on my credit report is illegal and is damaging my reputation."
"Credit reporting, credit repair services, or other personal consumer reports","There are some inquiries on credit reports which I do not no about, it may be potential fraud and I wrote dispute letter to the credit bureau and and they don't correct it, I want all the inquiries that I do not recognize removed from my credit report. 
Transunion, XXXX and XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",I contacted Transunion on 3 occasion about fraudulent information being housed on my credit reports ; I mailed them a copy of a police report and they still have refused to remove fraud inquiries on my report. They are violating my consumer rights by still reporting this information as true.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX XXXX XXXX BALANCE {$750.00} XXXX XXXX XXXX BALANCE {$0.00} These accounts are involved in litigation and do not belong to me. I never established these accounts. These accounts are a result of fraud. I was contacted by a collection agency regarding the accounts that were obtained under my name. I have no knowledge of obtaining any of the accounts listed here and was told that I needed to complete an affidavit, along with submitting my personal identification to have the suspected fraudulent accounts investigated and removed immediately."
"Credit reporting, credit repair services, or other personal consumer reports","My personal information was obtained and misused in attempted to open fraudulent accounts. There are inquiries on my report that I did not authorize. Regardless if there was an approval or not I need them to be removed before this gets out of hand. Please make sure these credit companies are on their job and get this dispute resolved. I can not have these inquiries that are mine, reporting any longer. This shouldn't even be reporting on my consumer report anyway, according to U.S. Code Section 1681b. I filed a report through the FTC and the report number is XXXX"
Mortgage,"Shellpoint mortgage ran an escrow analysis, but failed to recognize that we are paying for flood insurance on our own. I sent them proof of coverage. In addition, their process to have the coverage removed is very time consuming and difficult to reach the correct departments."
Credit card or prepaid card,My available credit keeps going down because they are double charging me. I've contacted them two days in a row and asked them to fix it and they just keep saying it's updating.
"Credit reporting, credit repair services, or other personal consumer reports","There are inquiries on my XXXX  and TransUnion that do not belong to me. There are also other content on my XXXX  with an account called XXXX XXXX that I have removed 3 times already and they just put it back on my credit file which is unlawful and I'm ready to pursue charges. 
There are other filings I will be reporting in another complaint about all three bureaus, but I submit that when I attach the documentation."
"Credit reporting, credit repair services, or other personal consumer reports","To whom it may concern, Under 15 U.S Code 1681b- Permissible purposes of consumer reports ( a ) IN GENERAL Subject to subsection ( c ) any consumer reporting agency may furnish a consumer report under the following circumstances and no other ; ( 2 ) In accordance with written instructions of the consumer to whom it relates. 

I XXXX XXXX never gave XXXX XXXX AND TRANSUNION any written consent to report anything on my consumer report, No consent is IDENTITY THEFT."
"Credit reporting, credit repair services, or other personal consumer reports","I disputed errors on my credit reports in XX/XX/2020. I sent letters explaining the errors to Transunion, XXXX, and transunion. I have not gotten a response in over 30 days from either company. I am aware that under the fair credit reporting act that these companies have 30 days from the date they receive my dispute to validate any inaccuracies on my credit reports. These unverified accounts are preventing me from funding that would help my business prosper."
Debt collection,"THIS IS NOT A DUPLICATE!!! 

XXXX XXXXXXXX claim this item Accurate & Consistent but its 2 different incorrect spelling of my name in the original contract which are highlighted in the attachments. which is a MAJOR Violations UNDER THE FCRA & FDCPA"
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2020, I wrote a letter about inaccurate accounts on my credit report. It has been two months and I still haven't received a response."
"Credit reporting, credit repair services, or other personal consumer reports",Ive repeatedly disputed with transition and XXXX  my late payments reported on credit report from XXXX. I supplied documents proving the late payments were jot late just deferred but neither will change my report.
"Credit reporting, credit repair services, or other personal consumer reports","Despite the written appeals I sent, any kind of response was taken for granted. Thus, their action has violated the Fair Credit Reporting Act, 15 USC Sections 1681i, which states that continued reports of the unverified information without any proofs provided, within the time allowed by law, is not authorized. Here is the list of accounts that are still reporting on my Credit Reports : TRANSUNION : XXXX XXXX XX/XX/XXXX {$90.00} CHAPTER XXXX BANKRUPTCY DISCHARGED XXXX XX/XX/XXXX {$0.00} XXXXXXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XXXX  XXXX XXXX, NY XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","To whom it may concern, Under 15 U.S 1681b- Permissible purposes of consumer reports IN GENERAL Subject to subsection ( c ) any consumer reporting agency may furnish a consumer report under the following circumstances and no other : ( 2 ) In accordance with the written instructions of the consumer to whom it relates. 

I XXXX XXXX never gave TransUnion any written consent to report anything on my consumer report, No consent is Identity Theft. A copy of the law is attached with this dispute letter."
"Credit reporting, credit repair services, or other personal consumer reports","I've recently reached out to XXXX, XXXX, and Transunion in regards to information being reported by the bureaus and asked of them to validate the information and provide me with results and an updated report showing any unverified accounts removed. I have not received any information. My profiles with these bureaus are still showing multiple inaccuracies and I've sent multiple letters. This has been affecting my credit worthiness and I'm not able to obtain new credit in results of this."
"Credit reporting, credit repair services, or other personal consumer reports",I disputed all of the fraudulent accounts on my report. I have not receive any notices from the credit bureaus. None of the items that are reporting delinquent is accurate. I sent notices and by law the bureaus have 30 days to provide a written explanation I have yet received anything. It has been over days!
"Credit reporting, credit repair services, or other personal consumer reports",I contacted the bureaus several times to correct this identity theft /IDENTIFY THEFT REPORT ATTACHED Fraud credit accounts XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX Fraud inquiries XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX  XXXX  XXXX XXXX XXXX XXXX
Debt collection,"I sent 2 letters to TransUnion & XXXX  asking for proof of debt from XXXX XXXX XXXX XXXX. I keep getting the same candid response that the debt was placed following FCRA guides. I requested the original documents to verify that this is my debt. Also, the 45 days that the credit bureau had to respond exceeded the time."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX has reported inaccurate payment history information to my credit report and has refused to remove it. This inaccurate information has been on my credit report since 2017. Some credit reports show 1 late payment and others show 2 late payments, both of which are inaccurate. I was never notified that these payments were late."
"Credit reporting, credit repair services, or other personal consumer reports","Transunion is reporting a late payment in XXXX of 2019. After disputing this, which was never late, Transunion stated that this information was verified by XXXX XXXX. However, XXXX XXXX verified to XXXX, which is attached, that I was NEVER late on payments to this account. A copy of this report is attached. I am very concerned that Transunion is continuing to report falsified verified information which is hindering and hurting my ability to acquire credit."
"Credit reporting, credit repair services, or other personal consumer reports",I've recently reached out to XXXX XXXX  and Transunion in regards to information being reported by the bureaus and asked of them to validate the information and provide me with results and an updated report showing any unverified accounts removed. I have not received any information. I have been waiting since XXXX. My profiles with these bureaus are still showing multiple inaccuracies and I've sent multiple letters. This has been affecting my credit worthiness and I'm not able to obtain new credit in results of this.
"Credit reporting, credit repair services, or other personal consumer reports",Fraudulent account
"Credit reporting, credit repair services, or other personal consumer reports","This account is not accurately showing on my report. It should be closed and satisfied, yet its showing open and late. Additionally, since disputing they have updated the last date of activity when that is incorrect. This account is over 7yrs old, and I have not reached out, nor conducted any type of business with them since this account was charged off over 7yrs ago."
"Credit reporting, credit repair services, or other personal consumer reports",I have filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I haven't received any investigation results.
"Credit reporting, credit repair services, or other personal consumer reports","I'VE DISPUTED THESE ACCOUNTS AND THIS IS A VIOLATION THAT THE BUREAUS CONTINUE TO REPORT INACCURATE INFORMATION. THEY CLAIM ITS BEEN VERIFIED AND ACCURATE BUT HAVE NOT PROVIDED ME NO INFORMATION SAYING THIS ACCOUNT IS MINE. HOW CAN XXXX REMOVE THE ITEMS AND THE OTHER BUREAUS DOESN'T? THIS IS A VIOLATION BY ITSELF. REMOVE IMMEDIATELY. 
SEE ATTACHED :"
"Credit reporting, credit repair services, or other personal consumer reports","See attached XXXX XXXX XXXX XXXX application. The application was incomplete on XXXX and credit report was pulled on XX/XX/2017. The application was incomplete and wasn't to be processed as stated at top of application. I talked with a lady  at XXXX XXXX 's President office today. She was adamant that application was complete even if undated. Unbelievable! I also filed a XXXX XXXX XXXX complaint. XXXX  XXXX is impossible to contact. XXXX  XXXX will, as usual, label this complaint as a duplicate. I am relying upon XXXX  and Transunion to answer this complaint.."
"Credit reporting, credit repair services, or other personal consumer reports",On XXXX XXXX credit acceptance reported the account I had with them as dismissed under bankruptcy when I paid settlement to delete and its still showing on 3 bureau 's and Im requesting that the information be removed per our agreement I have disputed this several times and credit acceptance have reported inaccurate information now on my credit report Ive called and sent letters to the main office
"Credit reporting, credit repair services, or other personal consumer reports","I contacted XXXX and notified them I no longer wanted this account. Apparently, the account wasn't actually closed and the annual fee was billed in error. I was contacted by XXXX 's collection department stating I was past due. Fortunately, the phone rep corrected the issue by refunding the fees and closing the account but I now see they have reported my account 90 days past due which dropped my credit scores XXXX points."
"Credit reporting, credit repair services, or other personal consumer reports","I have a lot of issues with my credit report, there are late payments and negative accounts that are not mine and inquiries that I did not authorize and accounts that are not mine. 
I am including a letter to explain about these items. 
I expect all items to be deleted as the credit bureaus are non- compliant and now in violation."
"Credit reporting, credit repair services, or other personal consumer reports","Disputed this issue with this CRA and its still on my credit profile. Reference numbers XXXX, XXXX, and XXXX. I believe this credit reporting agency did not legally obtain this information to add these derogatory marks. This is not my accurate information."
"Credit reporting, credit repair services, or other personal consumer reports",I recently checked my credit report and noticed several inaccurate items. After researching how to dispute these inaccurate items I learned a lot from the FCRA. In keeping with the law I submitted a dispute letter over 60 days ago and still have not heard any response. I feel like Im being ignored and being taken advantage of. These items are injurious to my credit report.
"Credit reporting, credit repair services, or other personal consumer reports",I have unauthorized accounts & inquiries on my report and would like it to be removed. According to the FCRA any inaccurate items on my Credit report that is not 100 % verifiable or accurate must be removed!
"Credit reporting, credit repair services, or other personal consumer reports","I tried telling the credit bureaus that this information on my credit report is incorrect ( as the picture below shows ). Even though I followed the proper procedures multiple times they just sent back that it was verified, as if they didn't even look at the evidence that i sent them. The high credit is wrong, the date last active is wrong, the date of last payment is wrong, and my payment history is all wrong. The only bureau that was mostly correct was transunion, and even their report was inaccurate with my no payment history."
Mortgage,I been unemployment since XXXX I ask shellpoint morgage to please put the amount past due to the end of the loan they replied they can only put 3monts and that I need to pay at least {$5000.00} that I dont have and still my payment is going to be {$2000.00} a month please help me my mom is a senior citizen on {$550.00} a month I'm still unemployed now to make it worse my unemployment beneftscare on hold since mid XXXX please help ous.
Debt collection,SOMETIME AROUND XXXX OF 2018 A CREDIT CARD WAS OPENED IN MY NAME WITHOUT MY CONSENT ... THE AMOUNT WAS {$750.00} DOLLARS. I WAS A VICTIM OF IDENTITY THEFT ...
"Credit reporting, credit repair services, or other personal consumer reports","I have been in contact with Transunion and XXXX  about hard inquiring that I did not authorize. I have explained to them that I did not authorize these transactions. Both told me to contact the company and see what information they had. None of the companies had any information with my name or social security number attached to it. I then called them back and they are still asking me to do the same process that was already done. I feel like I have been treated unfairly abs discriminated against. 
XXXX XXXX XXXX  XX/XX/XXXX XXXX XXXX  XX/XX/XXXX"
Debt collection,The creditor of IQ Data International keep calling about false debt and threatening me over the phone. I told them thee debt was inaccurate but they keep calling
"Credit reporting, credit repair services, or other personal consumer reports","We refinanced our US BANK mortgage with another bank, and U.S Bank has not reported accurately to all 3 credit bureaus. Both our mortgage and heloc accounts are still showing up as "" open '' even though we refinanced almost 2 moths ago. 

I called U.S Bank to inquire when they would report and they told me the XXXX of every month. Today is the XXXX and the only credit bureau they reported to was XXXX. XXXX and XXXX are still showing US BANK accounts as "" open ''."
"Credit reporting, credit repair services, or other personal consumer reports",I have a bankruptcy reporting on my credit report in the public record section and it is flawed with inaccuracies. I have disputed it several times and this credit bureaus keeps saying its verified. I even had the court send me a survey stating that they don't verify information with the credit bureaus. I don't know what else to do.. I can upload all the documents
"Credit reporting, credit repair services, or other personal consumer reports",The account listed as past due with XXXX XXXX XXXXXXXX XXXX XXXXXXXX is inaccurate. The account was a HELOC and now has been adjusted to a fixed rate 2nd mortgage. The account is current and being paid as agreed. Correct this mistake ASAP XXXX XXXX XXXX  XXXX  XXXX XXXX
"Credit reporting, credit repair services, or other personal consumer reports",about 2 months ago i applied to get my credit report and I haven't received any respond from TransUnion
Vehicle loan or lease,We have paid our auto loan with 6 deferred payments but our payments have been incorrectly applied to the account.
"Credit reporting, credit repair services, or other personal consumer reports",Experian has the wrong information for XXXX for the month of XX/XX/2020 as 30 days late in which is incorrect.
Student loan,I have been steady paying back my student loans after they defaulted because of my old financial situation. however i got on a repayment plan and have been paying the loan back through a repayment plan for XXXX every month since XXXX of XXXX this has not been reflected on my report whatsoever. the same company which is sallie mae has the account although it has a status of charged off. If possible i would like the report to be wiped clean off my report or at least have them report my on time payments since XXXX of 2019
Debt collection,"Daily I receive emails, phone calls, including at work, and text messages claiming attempts to reach me have failed and threatening to take next steps. I have documented proof that I have emailed and written to them on numerous occasions indicating that I want to resolve the debt but need payment plan options and to contact me by email. The only response I get is a continuation of emails and phone calls and texts indicating their numerous attempts to contact me have failed."
"Credit reporting, credit repair services, or other personal consumer reports","Under the credit reporting act, the credit bureau has 30 days to reply back to my dispute. They failed to do so. I'm asking for the information to be deleted on my credit report. I submitted the disputes on XX/XX/2021"
Credit card or prepaid card,I see multiple 30-60 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
Debt collection,Receivable Performance is reporting on my credit report along with XXXX for the same debt. XXXX was paid. I called and asked them to remove it from m credit report because it shouldnt have been on there in the first place but they refuse to remove it. There were multiple attempts to resolve this with the company but they refuse to do anything about the situation.
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX XXXX credit card limit {$8100.00} opened on XX/XX/20 Is showing as an open an account on my transunion credit report and it is not my account. XXXX XXXX  has already contacted transunion for my removal from account, but transunion has not removed account from my credit report and is affecting my overall fico score."
"Credit reporting, credit repair services, or other personal consumer reports",Hello I submitted multiple letters on some unauthorized inquiries on my report. I did my due diligence on everything and contacted the companies. Please find attached a FTC report I submitted for these unknown inquiries.
"Credit reporting, credit repair services, or other personal consumer reports",Hello I submitted multiple letters on some unauthorized inquiries on my report. I did my due diligence on everything and contacted the companies. Please find attached a FTC report I submitted for these unknown inquiries.
"Credit reporting, credit repair services, or other personal consumer reports","My identity was used for a bankruptcy filing, the bankruptcy is reporting on XXXX, XXXX and Tranunion as a public record. The bankruptcy filing is fraudulent. I have disputed the information several times, and the agencies say they verify this information from XXXX. XXXX uses a third-party to verify the public record which is not legal because it can't be verified through the courts, directly."
"Credit reporting, credit repair services, or other personal consumer reports",I filed a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I haven't received any investigation results.
Debt collection,"I had a debt collector call me after XXXX who would not identify what organization he worked for unless I gave him my date of birth and social security information. Then when I said I would call USAA to verify the information - he insisted that he was hired to get the info from me, so it wouldnt do me any good to do that. I let him know that I do not give out my personal information to a company that I can not verify and I have that right to do so."
Credit card or prepaid card,"On XXXX, XXXX  my bill did not go through SYNCB/XXXX XXXX  - account with 1 missed payment. I am kindly requesting SYNCB/XXXX XXXX to remove this missed payment from my credit reports as a gesture of goodwill. Doing so would sincerely be appreciated and represent an invaluable gift to my family and me."
"Credit reporting, credit repair services, or other personal consumer reports","Experian In opt out by letter and CFPB and on my Report # XXXX for XX/XX/2021 shows Clarity Services INC/XXXX/XXXX/XXXX XXXX shows XXXX has all these soft inquires. I opt out with Experian. I did not request or ask Clarity for n.o services by phone internet or contract or ask for any credit of any form. 
I have also filed with the US Attorney office and file a police report for fraud on Experian/Clarity If Experian opt out all this fraud would not be going on"
"Credit reporting, credit repair services, or other personal consumer reports",Over the course of 2 years I have disputed this contacte XXXX and they refuse to communicate or respond to all attempts to get this fixed. today after years of trying i now see they have reported to my credit 3 times for multiple amounts and the newest being reported XX/XX/2021 for {$4100.00}. This does not belong to me I advised them of this multiple times. This is causing major issues with my livelihood and is at this point harassment and lies.
"Credit reporting, credit repair services, or other personal consumer reports","On my reports there is a closed account with huge amount of missed payments. MACY'S/DSNB XX/XX/XXXX Its not mine account. Also there was no written form of communication, contract or signature for this account debt at all. A bill without signature does not validate the debt and anybody can send a bill and say it is mine. According to the FCRA MACY'S/DSNB has violated my rights as a consumer and I requesting legal action to remove this account immediately."
"Credit reporting, credit repair services, or other personal consumer reports","There were 2 credit inquiries on XXXX XXXX, 2021 by Ally Financial and XXXX XXXX XXXX regarding auto loan. I didn't make any inquire for auto loan application in last one month. I checked my XXXX XXXX on the same day on XXXX XXXX XXXX website and found these inquires which I didn't recognize. I reported it to XXXX. I also enabled temporary credit fraud alert on XXXX."
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2020 you responded to my request for reinvestigation with "" They responded and verified that the disputed information was accurate as reported. '' Please supply the METHOD OF VERIFICATION used."
"Credit reporting, credit repair services, or other personal consumer reports",On XX/XX/2021 you claimed that you verified the account as accurate. Please provide the METHOD OF VERIFICATION used.
"Credit reporting, credit repair services, or other personal consumer reports","I Have Filed A Dispute In Regards To The Incorrect Item On My Credit Report, It Has Been Over 30 Days And I Haven't Received Any Investigation Results."
Debt collection,"I recently pulled my credit report and noticed an inquiry on my report without my permissible use. According to the FCRA and the FDCPA, it should be removed. However, I have sent in continuous dispute letters obtaining all information needed to remove this inquiry. This inquiry is affecting my chances on establishing a great history with the current company. The name of the inquiry is MILITARY STAR. The inquiry date is XX/XX/2018. The bureau reporting is XXXX, XXXX, and XXXX XXXX. Thank you!"
Checking or savings account,"Citi Bank blocked my checking account on XX/XX/2021 without giving me a valid reason. Since then I have not been able to access my funds, online banking and my salary is stuck in this account. I tried calling their Fraud prevention team but they could not give me any specifics. They asked me to wait for 48 hours. 48 hours have passed and I have tried reaching out to their Fraud team but with no success. Meanwhile, I can not access my own money, can not pay my bills."
Checking or savings account,"On XX/XX/XXXX I requested an incoming ACH transfer to my joint Ally account that I hold with my wife. I failed to realize that the account I was pulling from was only in my wife 's name. Because I was logged in under my name, Ally rejected the transfer. They told me they would return the funds to the account we pulled from but as of this date they have failed to do so."
Credit card or prepaid card,"On XX/XX/XXXX my bill did not go through account with 1 missed payment. I am kindly requesting MOHELA/DEPT OF ED Opened XXXX XXXX, XXXX to remove this missed payment from my credit reports as a gesture of goodwill. Doing so would sincerely be appreciated and represent an invaluable gift to my family and me."
"Credit reporting, credit repair services, or other personal consumer reports","There are unknown hard inquiries on my credit report. Im requested the verification of the inquiries and the method of verification. CREDCO/XXXX  XXXX Inquiry : XXXX XXXX, 2019, CREDCO/XXXX  XXXX Inquiry : XXXX XXXX, 2019. But companies did not provide the following proof : Permissible Purpose My written authorization Proof that I personally initiated these inquiries. I did not authorize anyone employed by these companies to make any inquiry and view my credit report. This is a violation of the Fair Credit Reporting Act Section 1681b ( c ) and a serious breach of my privacy rights."
"Credit reporting, credit repair services, or other personal consumer reports","There are unknown hard inquiries on my credit report. Im requested the verification of the inquiries and the method of verification. CREDCO/XXXX  XXXX Inquiry : XXXX XXXX, 2019, CREDCO/XXXX  XXXX Inquiry : XXXX XXXX, 2019. But companies did not provide the following proof : Permissible Purpose My written authorization Proof that I personally initiated these inquiries. I did not authorize anyone employed by these companies to make any inquiry and view my credit report. This is a violation of the Fair Credit Reporting Act Section 1681b ( c ) and a serious breach of my privacy rights."
"Credit reporting, credit repair services, or other personal consumer reports",Amazon-sync bank has not taken this off my XXXX XXXX credit report! This matter was already dropped and taken off my other report! I want this company to take this error off both of my credit reports! I never applied for nothing with Amazon-sync and they shouldnt have the right to put derogatory remarks on my credit report!!
"Credit reporting, credit repair services, or other personal consumer reports",Experian has incorrectly reported serious delinquency affecting my FICO score. Experian is 100 points lower than XXXX XXXX or XXXX  due to this incorrect information.
Credit card or prepaid card,I was shocked when reviewing my credit report and found a late payments reported for XXXX and XXXX of 2020. I am not sure how this happened. I believe I made my payments to you when I received my statements. My only thought is that my statement didnt reach me.
"Credit reporting, credit repair services, or other personal consumer reports","I checked my credit report when purchasing a vehicle, that is when I realized I am a victim of identity theft. I filed a report with the F.T.C and my local police department. I send all documents to the C.R.A and FNB Omaha. The Account Opened is FNB Omaha Account Number : XXXX Date Opened : XX/XX/2017 Balance : {$18000.00}. I have never opened an account with them, I am a victim of identity theft and I need this resolved and removed from my name and credit bureaus."
"Credit reporting, credit repair services, or other personal consumer reports",The account was ordered out of my name and not my responsibility and they refuse to remove and is damaging my credit and making me unable to make purchases. It is not my account it is fraud and court ordered.
Debt collection,"On XX/XX/XXXX, I was contacted via phone, email, and text message by XXXX XXXX from Cedars Business Services ( XXXX, XXXX ) regarding a non-existent debt which Cedars claimed I owed to XXXX. 

No such debt ever existed. 

On approximately XX/XX/XXXX, I ordered two desks on XXXX totaling {$5500.00}. When the desks finally arrived, they were so badly damaged that I refused to accept delivery. XXXX issued a complete refund via XXXX on XX/XX/XXXX. 

I have provided Cedars Business Services the above information."
Debt collection,I DO NOT HAVE A CONTRACT WITH SENTRY CREDIT NOR DO I HAVE ANY CONTRACTS WITH XXXX XXXX. Show me a contract bearing my signature as validation and competent evidence that I have some contractual obligation to pay you!
Credit card or prepaid card,On XX/XX/XXXX my bill did not go through account with 1 missed payment. I am kindly requesting WELLS FARGO FINANCIA ( Opened XX/XX/XXXX ) to remove this missed payment from my credit reports as a gesture of goodwill. Doing so would sincerely be appreciated and represent an invaluable gift to my family and me.
"Credit reporting, credit repair services, or other personal consumer reports","I have disputed this inaccurate bankruptcy & items associated with bankruptcy since XXXX of 2020, and after each dispute the 3 credit bureaus, XXXX, TransUnion, & XXXX  stated that the information was verified and obtained accurate information from a third party vendor XXXX and that I should contact the vendor directly. I have contacted XXXX who sent me a response stating they are unable to locate a file sufficiently matching the data that the bureaus, XXXX, TransUnion, & XXXX  are reporting on my credit profile."
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2021 I contacted XXXX, XXXX, and Transunion with accounts on my profile that were not verified or accurate. To date, neither of these bureaus have done an adequate investigation and are requiring me to send additional information to them. 

This complaint is where the additional information will be presented and should be used to process the removal of these inaccurate accounts that are under my profile."
Checking or savings account,"My long term bank, the USAA Federal Savings Bank, is requiring that I answer a number of questions of a personal financial nature before they will allow me access to my accounts. They are effectively locking me out of my accounts preventing from all functions. How can they do this?"
"Credit reporting, credit repair services, or other personal consumer reports","I sent a letter to the consumer reporting agency, Transunion on XX/XX/2021 to notify them of inaccurate and obsolete items on my credit report. After 30 days with no response, I then sent a letter on XX/XX/2021 notifying the reporting agency they were required to notify me of their investigation results within 30 days but yet they had not provided me with results or updates within that timeframe."
"Credit reporting, credit repair services, or other personal consumer reports","I have sent letters to the credit bureaus, called Tham and dispute account and inquiries, they continue saying that they are verified. However, as per the Credit Report Act, the bureaus have not provided any proof of verification, and continue to report unverified and false information in my report which is hindering my score."
"Credit reporting, credit repair services, or other personal consumer reports","I'm writing because i checked my credit report and i saw account and inquires which i never applied for. I have no contracts or agreements with my signature, I do not know how these items ended upon my credit report, but I never signed for or agreed to these charges. I dont know who gave you this information!"
"Credit reporting, credit repair services, or other personal consumer reports",In XX/XX/2020 I filed disputes with all 3 credit bureaus that there are some collections that way pass 7 years and need to come off. I do not understand why it is taking so long for this happen? Are they not doing their jobs? Why should I have to spend my time writing this complaint when I already filed disputes with them.
"Payday loan, title loan, or personal loan",We have a sizable business line of Credit and Term loan with Fulton Bank in New Jersey which was going on for 2 years. Now we had a Line of Credit enhancement request and a new mortgage loan which mishandled and and I was discriminated by the bank because I am an XXXX XXXX and my business is minority owned. Bank violated its prime duty of good faith and fair dealing. In addition Fulton Bank does not have proper controls in place which leads to serious wrong doings by the bank.
"Credit reporting, credit repair services, or other personal consumer reports","I have been disputing CONTINUOUSLY since XX/XX/XXXX, to have the dismissed bankruptcy removed from my credit report. I kept getting responses that the account was accurate however, it can't be since it no longer legally exists! On XX/XX/XXXX I still continued to dispute the Bankruptcy with the bureaus however this time, they never responded! I sent another follow-up on XX/XX/XXXX regarding the same item. To this day, XX/XX/XXXX, I have yet to get a response from the bureaus of what they are doing with my account!"
Mortgage,I see multiple 30 days late marks which is a clear violation of my right under the FCRA. The company has never responded to any of my attempts to obtain any proof or documentation that will prove this account is being reported accurately.
"Credit reporting, credit repair services, or other personal consumer reports","For the past 60 days I sent you a dispute for hard inquires I didn't authorize with a FTC report stating I been a victim of identity theft, I send out another FTC report 2 weeks ago which they said they didn't received it, I also called and they couldn't help this matter. 


I have filed a dispute in regards to incorrect items on my credit report, it has been well over 30 days and I haven't received any investigations results."
Checking or savings account,They closed my accounts unexpectedly and wont respond to any of my complaints I filed against them this is not fair when Ive been a long time customer they dont want to do business with me and wont tell me why claim its under their contract horrible policies this bank is crazy Ive been with them for years and this is how they treat me I feel discriminated for being told I can never do business with them again or have any accounts
Credit card or prepaid card,"I received a phone call from someone claiming to be from Amazon ( XXXX ) attempting to verify a purchase for {$340.00} or to call XXXX if I did not make this purchase. 
I contacted Amazon ( XXXX ) and they verified there is no purchase listed for that amount. They said it was a phishing call, not to worry."
Credit card or prepaid card,"I moved in XXXX of XXXXI notified Care Credit that I had a new address. 
I paid my account to XXXX  before moving. 
You don't get a statement when you owe XXXX 
Today XX/XX/XXXX I called number on card to check on.I found out they ( Synchrony Bank closed XX/XX/XXXX ). 
They say they sent out a new card & was returned XX/XX/XXXX by post office. ( case/service request # XXXX ) complaint filed XX/XX/XXXX today with USPS. 
THEY SAID THEY CAN NOT ISSUE ANOTHER CARD.THEY NEVER INFORMED ME OF ACCOUNT BEING CLOSED THRU E-MAIL OR MAIL. 

XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I checked my credit report when purchasing a vehicle, that is when I realized I am a victim of identity theft. I filed a report with the F.T.C and my local police department. I send all documents to the C.R.A and Shell Point. The Account Opened is Shell Point Account Number : XXXX Date Opened : XX/XX/2019 Balance : {$570000.00}. I have never opened an account with them, I am a victim of identity theft and I need this resolved and removed from my name and credit bureaus."
Credit card or prepaid card,"On XX/XX/XXXX my bill for account SYNCB/WALMART ( XXXX XXXX. XXXX, XXXX ) did not go through when it was on auto-bill. I reached out to the company and they said that they saw the payment try to come out of the bank but it was rejected. They never notified me of the rejection and gave me this late payment. I now can not get a mortgage because of this mark on my credit and the company will not help me with this unfair situation."
"Credit reporting, credit repair services, or other personal consumer reports","credit collection agencies, the previous employer/s had shared, disclosed health and personal identification info without consent XXXX XXXX XXXX  XXXX XXXX XXXX XXXX, XXXX. 
XXXX XXXX XXXX XXXX XXXX XXXX of WI child support"
